participant,condition,stimulation_type,ruler_position,distance,answer
1,cube,OV,0.15,0.2,34.0
1,cube,OV,0.21,0.14,28.0
1,cube,OV,0.27,0.07999998,23.0
1,cube,OV,0.12,0.23,37.0
1,cube,OV,0.3,0.04999998,19.0
1,cube,OV,0.15,0.2,31.0
1,cube,OV,0.27,0.07999998,18.0
1,cube,OV,0.24,0.11,21.0
1,cube,OV,0.3,0.04999998,15.0
1,cube,OV,0.21,0.14,24.0
1,cube,OT,0.18,0.17,32.0
1,cube,OT,0.3,0.04999998,20.0
1,cube,OT,0.33,0.01999998,17.0
1,cube,OT,0.15,0.2,36.0
1,cube,OT,0.21,0.14,29.0
1,cube,OT,0.15,0.2,32.0
1,cube,OT,0.18,0.17,29.0
1,cube,OT,0.33,0.01999998,14.0
1,cube,OT,0.12,0.23,35.0
1,cube,OT,0.3,0.04999998,16.0
1,cube,SP,0.3,0.04999998,21.0
1,cube,SP,0.21,0.14,32.0
1,cube,SP,0.18,0.17,34.0
1,cube,SP,0.15,0.2,37.0
1,cube,SP,0.24,0.11,26.0
1,cube,SP,0.18,0.17,24.0
1,cube,SP,0.21,0.14,22.0
1,cube,SP,0.12,0.23,29.0
1,cube,SP,0.15,0.2,27.0
1,cube,SP,0.33,0.01999998,9.0
1,cube,DP,0.24,0.11,25.0
1,cube,DP,0.12,0.23,36.0
1,cube,DP,0.15,0.2,35.0
1,cube,DP,0.33,0.01999998,15.0
1,cube,DP,0.21,0.14,27.0
1,cube,DP,0.24,0.11,22.0
1,cube,DP,0.21,0.14,25.0
1,cube,DP,0.12,0.23,34.0
1,cube,DP,0.15,0.2,30.0
1,cube,DP,0.18,0.17,29.0
1,hand,OV,0.24,0.11,26.0
1,hand,OV,0.33,0.01999998,16.0
1,hand,OV,0.12,0.23,36.0
1,hand,OV,0.3,0.04999998,21.0
1,hand,OV,0.27,0.07999998,22.0
1,hand,OV,0.27,0.07999998,22.0
1,hand,OV,0.24,0.11,25.0
1,hand,OV,0.15,0.2,32.0
1,hand,OV,0.12,0.23,34.0
1,hand,OV,0.3,0.04999998,15.0
1,hand,OT,0.33,0.01999998,18.0
1,hand,OT,0.15,0.2,36.0
1,hand,OT,0.27,0.07999998,24.0
1,hand,OT,0.21,0.14,29.0
1,hand,OT,0.18,0.17,31.0
1,hand,OT,0.15,0.2,32.0
1,hand,OT,0.21,0.14,26.0
1,hand,OT,0.3,0.04999998,17.0
1,hand,OT,0.18,0.17,29.0
1,hand,OT,0.12,0.23,35.0
1,hand,SP,0.12,0.23,38.0
1,hand,SP,0.15,0.2,33.0
1,hand,SP,0.33,0.01999998,15.0
1,hand,SP,0.27,0.07999998,22.0
1,hand,SP,0.3,0.04999998,19.0
1,hand,SP,0.3,0.04999998,23.0
1,hand,SP,0.27,0.07999998,23.0
1,hand,SP,0.21,0.14,27.0
1,hand,SP,0.24,0.11,24.0
1,hand,SP,0.18,0.17,29.0
1,hand,DP,0.27,0.07999998,25.0
1,hand,DP,0.24,0.11,26.0
1,hand,DP,0.33,0.01999998,15.0
1,hand,DP,0.3,0.04999998,19.0
1,hand,DP,0.15,0.2,34.0
1,hand,DP,0.15,0.2,31.0
1,hand,DP,0.24,0.11,21.0
1,hand,DP,0.27,0.07999998,19.0
1,hand,DP,0.12,0.23,35.0
1,hand,DP,0.3,0.04999998,18.0
2,cube,OV,0.24,0.11,23.0
2,cube,OV,0.15,0.2,33.0
2,cube,OV,0.18,0.17,31.0
2,cube,OV,0.21,0.14,28.0
2,cube,OV,0.33,0.01999998,17.0
2,cube,OV,0.33,0.01999998,13.0
2,cube,OV,0.3,0.04999998,20.0
2,cube,OV,0.27,0.07999998,23.0
2,cube,OV,0.21,0.14,30.0
2,cube,OV,0.12,0.23,37.0
2,cube,OT,0.18,0.17,36.0
2,cube,OT,0.12,0.23,43.0
2,cube,OT,0.33,0.01999998,22.0
2,cube,OT,0.27,0.07999998,26.0
2,cube,OT,0.24,0.11,29.0
2,cube,OT,0.12,0.23,35.0
2,cube,OT,0.24,0.11,26.0
2,cube,OT,0.3,0.04999998,22.0
2,cube,OT,0.27,0.07999998,24.0
2,cube,OT,0.33,0.01999998,19.0
2,cube,SP,0.15,0.2,40.0
2,cube,SP,0.12,0.23,43.0
2,cube,SP,0.3,0.04999998,25.0
2,cube,SP,0.21,0.14,35.0
2,cube,SP,0.33,0.01999998,21.0
2,cube,SP,0.15,0.2,36.0
2,cube,SP,0.27,0.07999998,26.0
2,cube,SP,0.18,0.17,35.0
2,cube,SP,0.3,0.04999998,25.0
2,cube,SP,0.24,0.11,23.0
2,cube,DP,0.21,0.14,36.0
2,cube,DP,0.15,0.2,42.0
2,cube,DP,0.24,0.11,31.0
2,cube,DP,0.18,0.17,37.0
2,cube,DP,0.12,0.23,41.0
2,cube,DP,0.33,0.01999998,16.0
2,cube,DP,0.27,0.07999998,23.0
2,cube,DP,0.24,0.11,26.0
2,cube,DP,0.18,0.17,33.0
2,cube,DP,0.15,0.2,36.0
2,hand,OV,0.15,0.2,28.0
2,hand,OV,0.33,0.01999998,11.0
2,hand,OV,0.18,0.17,25.0
2,hand,OV,0.27,0.07999998,17.0
2,hand,OV,0.3,0.04999998,14.0
2,hand,OV,0.27,0.07999998,15.0
2,hand,OV,0.15,0.2,27.0
2,hand,OV,0.33,0.01999998,10.0
2,hand,OV,0.21,0.14,19.0
2,hand,OV,0.18,0.17,24.0
2,hand,OT,0.33,0.01999998,13.0
2,hand,OT,0.15,0.2,30.0
2,hand,OT,0.21,0.14,25.0
2,hand,OT,0.12,0.23,34.0
2,hand,OT,0.18,0.17,25.0
2,hand,OT,0.21,0.14,21.0
2,hand,OT,0.12,0.23,31.0
2,hand,OT,0.24,0.11,18.0
2,hand,OT,0.3,0.04999998,13.0
2,hand,OT,0.15,0.2,26.0
2,hand,SP,0.18,0.17,29.0
2,hand,SP,0.33,0.01999998,15.0
2,hand,SP,0.3,0.04999998,18.0
2,hand,SP,0.21,0.14,26.0
2,hand,SP,0.15,0.2,31.0
2,hand,SP,0.21,0.14,24.0
2,hand,SP,0.27,0.07999998,17.0
2,hand,SP,0.3,0.04999998,15.0
2,hand,SP,0.15,0.2,30.0
2,hand,SP,0.18,0.17,27.0
2,hand,DP,0.21,0.14,21.0
2,hand,DP,0.24,0.11,19.0
2,hand,DP,0.3,0.04999998,13.0
2,hand,DP,0.18,0.17,24.0
2,hand,DP,0.12,0.23,31.0
2,hand,DP,0.18,0.17,25.0
2,hand,DP,0.21,0.14,23.0
2,hand,DP,0.12,0.23,30.0
2,hand,DP,0.24,0.11,18.0
2,hand,DP,0.27,0.07999998,15.0
3,cube,OV,0.15,0.2,31.0
3,cube,OV,0.21,0.14,24.0
3,cube,OV,0.12,0.23,32.0
3,cube,OV,0.3,0.04999998,14.0
3,cube,OV,0.18,0.17,26.0
3,cube,OV,0.24,0.11,22.0
3,cube,OV,0.27,0.07999998,19.0
3,cube,OV,0.21,0.14,24.0
3,cube,OV,0.12,0.23,32.0
3,cube,OV,0.33,0.01999998,10.0
3,cube,OT,0.21,0.14,22.0
3,cube,OT,0.12,0.23,31.0
3,cube,OT,0.15,0.2,29.0
3,cube,OT,0.33,0.01999998,12.0
3,cube,OT,0.27,0.07999998,19.0
3,cube,OT,0.18,0.17,28.0
3,cube,OT,0.33,0.01999998,13.0
3,cube,OT,0.15,0.2,32.0
3,cube,OT,0.24,0.11,22.0
3,cube,OT,0.27,0.07999998,18.0
3,cube,SP,0.18,0.17,27.0
3,cube,SP,0.15,0.2,29.0
3,cube,SP,0.12,0.23,33.0
3,cube,SP,0.27,0.07999998,18.0
3,cube,SP,0.24,0.11,22.0
3,cube,SP,0.33,0.01999998,14.0
3,cube,SP,0.27,0.07999998,19.0
3,cube,SP,0.21,0.14,25.0
3,cube,SP,0.3,0.04999998,16.0
3,cube,SP,0.24,0.11,20.0
3,cube,DP,0.18,0.17,29.0
3,cube,DP,0.24,0.11,22.0
3,cube,DP,0.21,0.14,25.0
3,cube,DP,0.12,0.23,34.0
3,cube,DP,0.27,0.07999998,20.0
3,cube,DP,0.3,0.04999998,18.0
3,cube,DP,0.21,0.14,27.0
3,cube,DP,0.27,0.07999998,19.0
3,cube,DP,0.33,0.01999998,14.0
3,cube,DP,0.24,0.11,24.0
3,hand,OV,0.15,0.2,32.0
3,hand,OV,0.27,0.07999998,30.0
3,hand,OV,0.12,0.23,18.0
3,hand,OV,0.33,0.01999998,33.0
3,hand,OV,0.3,0.04999998,13.0
3,hand,OV,0.27,0.07999998,18.0
3,hand,OV,0.12,0.23,32.0
3,hand,OV,0.15,0.2,27.0
3,hand,OV,0.3,0.04999998,12.0
3,hand,OV,0.18,0.17,25.0
3,hand,OT,0.3,0.04999998,17.0
3,hand,OT,0.15,0.2,31.0
3,hand,OT,0.27,0.07999998,18.0
3,hand,OT,0.21,0.14,24.0
3,hand,OT,0.33,0.01999998,11.0
3,hand,OT,0.15,0.2,26.0
3,hand,OT,0.33,0.01999998,8.0
3,hand,OT,0.24,0.11,18.0
3,hand,OT,0.21,0.14,21.0
3,hand,OT,0.3,0.04999998,13.0
3,hand,SP,0.27,0.07999998,16.0
3,hand,SP,0.3,0.04999998,14.0
3,hand,SP,0.24,0.11,19.0
3,hand,SP,0.18,0.17,26.0
3,hand,SP,0.15,0.2,29.0
3,hand,SP,0.24,0.11,16.0
3,hand,SP,0.3,0.04999998,12.0
3,hand,SP,0.18,0.17,24.0
3,hand,SP,0.21,0.14,21.0
3,hand,SP,0.27,0.07999998,14.0
3,hand,DP,0.27,0.07999998,29.0
3,hand,DP,0.24,0.11,25.0
3,hand,DP,0.21,0.14,13.0
3,hand,DP,0.3,0.04999998,20.0
3,hand,DP,0.18,0.17,
3,hand,DP,0.15,0.2,26.0
3,hand,DP,0.18,0.17,21.0
3,hand,DP,0.33,0.01999998,8.0
3,hand,DP,0.24,0.11,19.0
3,hand,DP,0.12,0.23,
4,cube,OV,0.3,0.04999998,24.0
4,cube,OV,0.15,0.2,38.0
4,cube,OV,0.33,0.01999998,18.0
4,cube,OV,0.27,0.07999998,24.0
4,cube,OV,0.18,0.17,33.0
4,cube,OV,0.12,0.23,31.0
4,cube,OV,0.3,0.04999998,15.0
4,cube,OV,0.33,0.01999998,12.0
4,cube,OV,0.15,0.2,34.0
4,cube,OV,0.18,0.17,31.0
4,cube,OT,0.15,0.2,21.0
4,cube,OT,0.12,0.23,24.0
4,cube,OT,0.24,0.11,11.0
4,cube,OT,0.18,0.17,17.0
4,cube,OT,0.3,0.04999998,7.0
4,cube,OT,0.18,0.17,27.0
4,cube,OT,0.27,0.07999998,17.0
4,cube,OT,0.12,0.23,32.0
4,cube,OT,0.3,0.04999998,16.0
4,cube,OT,0.24,0.11,19.0
4,cube,SP,0.15,0.2,31.0
4,cube,SP,0.3,0.04999998,15.0
4,cube,SP,0.18,0.17,29.0
4,cube,SP,0.24,0.11,21.0
4,cube,SP,0.21,0.14,25.0
4,cube,SP,0.15,0.2,26.0
4,cube,SP,0.21,0.14,20.0
4,cube,SP,0.18,0.17,23.0
4,cube,SP,0.12,0.23,30.0
4,cube,SP,0.24,0.11,16.0
4,cube,DP,0.15,0.2,32.0
4,cube,DP,0.27,0.07999998,22.0
4,cube,DP,0.12,0.23,38.0
4,cube,DP,0.33,0.01999998,15.0
4,cube,DP,0.18,0.17,33.0
4,cube,DP,0.15,0.2,32.0
4,cube,DP,0.21,0.14,23.0
4,cube,DP,0.24,0.11,21.0
4,cube,DP,0.27,0.07999998,18.0
4,cube,DP,0.33,0.01999998,11.0
4,hand,OV,0.3,0.04999998,9.0
4,hand,OV,0.27,0.07999998,13.0
4,hand,OV,0.12,0.23,29.0
4,hand,OV,0.24,0.11,15.0
4,hand,OV,0.21,0.14,20.0
4,hand,OV,0.33,0.01999998,10.0
