ID,Trial_Index,Condition,Condition_label,Trial_Type,Trial_type_label,Visual_stimulus,Tactile_stimulus,Felt_position,RT,Error,Visual_error,log_RT
1,2,1,hand,3,SP,3,3,3,0.47,0,,-0.7550225842780328
1,3,1,hand,4,DP,1,2,2,0.609,0,0.0,-0.49593701127224005
1,4,1,hand,4,DP,1,2,2,0.578,0,0.0,-0.5481814103097596
1,6,1,hand,4,DP,2,4,4,0.538,0,0.0,-0.6198967188203526
1,7,1,hand,3,SP,4,4,4,0.592,0,,-0.5242486440981314
1,8,1,hand,3,SP,1,1,1,0.731,0,,-0.3133418192323586
1,12,1,hand,1,OT,0,2,2,0.509,0,,-0.6753072624316143
1,13,1,hand,4,DP,1,4,4,0.495,0,0.0,-0.7031975164134467
1,14,1,hand,1,OT,0,4,4,0.68,0,,-0.3856624808119846
1,15,1,hand,4,DP,4,3,3,0.762,0,0.0,-0.2718087232954908
1,16,1,hand,4,DP,2,1,1,0.523,0,0.0,-0.6481738149172142
1,17,1,hand,1,OT,0,2,2,0.554,0,,-0.5905905922348531
1,18,1,hand,3,SP,1,1,1,0.578,0,,-0.5481814103097596
1,19,1,hand,3,SP,4,4,4,0.522,0,,-0.6500876910994983
1,21,1,hand,1,OT,0,3,3,0.58,0,,-0.5447271754416722
1,22,1,hand,1,OT,0,4,4,0.636,0,,-0.4525567156420149
1,23,1,hand,1,OT,0,1,1,0.549,0,,-0.5996568374726063
1,24,1,hand,1,OT,0,1,1,0.676,0,,-0.3915622029391729
1,25,1,hand,4,DP,2,3,3,0.508,0,0.0,-0.6772738314036552
1,26,1,hand,1,OT,0,4,4,0.582,0,,-0.5412848312506993
1,27,1,hand,4,DP,3,2,2,0.484,0,0.0,-0.7256703722655053
1,29,1,hand,4,DP,1,4,4,0.704,0,0.0,-0.3509769228240947
1,31,1,hand,3,SP,2,2,2,0.569,0,,-0.5638748448558062
1,32,1,hand,3,SP,3,3,3,0.454,0,,-0.789658080940789
1,34,1,hand,1,OT,0,2,2,0.608,0,,-0.49758039701597007
1,36,1,hand,1,OT,0,1,1,0.664,0,,-0.40947312950570314
1,37,1,hand,3,SP,4,4,4,0.44,0,,-0.8209805520698302
1,39,1,hand,4,DP,1,3,3,0.513,0,0.0,-0.6674794338113675
1,40,1,hand,1,OT,0,3,3,0.607,0,,-0.4992264879226388
1,41,1,hand,4,DP,4,1,3,0.469,1,0.0,-0.7571525105358577
1,43,1,hand,1,OT,0,4,4,0.485,0,,-0.7236063880446539
1,45,1,hand,1,OT,0,1,3,0.496,1,,-0.7011793522572096
1,46,1,hand,4,DP,2,1,1,0.564,0,0.0,-0.5727010274840783
1,47,1,hand,3,SP,1,1,1,0.597,0,,-0.515838165589535
1,48,1,hand,1,OT,0,2,2,0.553,0,,-0.5923972774598022
1,49,1,hand,3,SP,3,3,3,0.647,0,,-0.43540898448123644
1,50,1,hand,4,DP,1,3,3,0.509,0,0.0,-0.6753072624316143
1,51,1,hand,4,DP,3,1,3,0.497,1,1.0,-0.6991652528855083
1,53,1,hand,3,SP,2,2,2,0.647,0,,-0.43540898448123644
1,54,1,hand,3,SP,2,2,2,0.457,0,,-0.7830718880879323
1,55,1,hand,3,SP,1,1,3,0.512,1,,-0.6694306539426292
1,56,1,hand,3,SP,3,3,3,0.483,0,,-0.7277386253295643
1,58,1,hand,1,OT,0,3,3,0.513,0,,-0.6674794338113675
1,60,1,hand,3,SP,2,2,2,0.478,0,,-0.7381445464906811
1,61,1,hand,3,SP,4,4,4,0.513,0,,-0.6674794338113675
1,62,1,hand,1,OT,0,3,3,0.497,0,,-0.6991652528855083
1,63,1,hand,4,DP,4,2,4,0.566,1,1.0,-0.5691612007789542
1,64,1,hand,4,DP,3,4,4,0.497,0,0.0,-0.6991652528855083
2,1,1,hand,1,OT,0,3,3,0.924,0,,-0.07904320734045285
2,4,1,hand,3,SP,1,1,1,0.86,0,,-0.15082288973458366
2,5,1,hand,4,DP,2,1,2,1.097,1,1.0,0.09257918129309317
2,6,1,hand,1,OT,0,4,4,1.095,0,,0.09075436326846412
2,7,1,hand,1,OT,0,4,4,1.248,0,,0.22154226994723591
2,8,1,hand,1,OT,0,2,2,1.275,0,,0.2429461786103894
2,11,1,hand,4,DP,4,1,4,0.956,1,1.0,-0.044997365930735805
2,12,1,hand,1,OT,0,3,3,0.704,0,,-0.3509769228240947
2,14,1,hand,1,OT,0,2,2,0.0,0,,-inf
2,16,1,hand,1,OT,0,1,3,0.846,1,,-0.1672359193759138
2,17,1,hand,3,SP,4,4,4,0.665,0,,-0.4079682383262829
2,18,1,hand,4,DP,1,2,1,0.722,1,1.0,-0.32573014008931084
2,19,1,hand,4,DP,4,2,4,0.481,1,1.0,-0.731888008876376
2,20,1,hand,4,DP,1,2,1,0.871,1,1.0,-0.13811330212963427
2,21,1,hand,4,DP,2,1,2,0.943,1,1.0,-0.05868899634867961
2,22,1,hand,4,DP,3,1,1,0.693,0,0.0,-0.3667252797922339
2,23,1,hand,4,DP,4,3,4,0.995,1,1.0,-0.005012541823544286
2,24,1,hand,4,DP,1,4,2,0.54,1,0.0,-0.616186139423817
2,26,1,hand,1,OT,0,2,2,0.624,0,,-0.47160491061270937
2,27,1,hand,3,SP,2,2,2,0.509,0,,-0.6753072624316143
2,29,1,hand,3,SP,4,4,4,0.721,0,,-0.327116141697188
2,30,1,hand,3,SP,1,1,1,0.736,0,,-0.3065251602532608
2,31,1,hand,3,SP,3,3,3,1.084,0,,0.08065790301745454
2,32,1,hand,1,OT,0,1,1,0.87,0,,-0.13926206733350766
2,33,1,hand,4,DP,3,2,2,0.871,0,0.0,-0.13811330212963427
2,34,1,hand,3,SP,1,1,1,0.773,0,,-0.25747623039471507
2,35,1,hand,1,OT,0,4,4,0.691,0,,-0.3696154552144672
2,36,1,hand,3,SP,4,4,4,1.126,0,,0.11867152971749854
2,39,1,hand,1,OT,0,3,1,0.997,1,,-0.0030045090202987243
2,41,1,hand,4,DP,1,3,1,0.538,1,1.0,-0.6198967188203526
2,43,1,hand,3,SP,2,2,2,0.905,0,,-0.0998203352822109
2,44,1,hand,3,SP,2,2,2,0.929,0,,-0.07364654016829848
2,45,1,hand,1,OT,0,3,3,0.857,0,,-0.15431736038435728
2,46,1,hand,4,DP,2,3,1,1.725,1,0.0,0.5452270504833231
2,48,1,hand,3,SP,3,3,2,0.817,1,,-0.20211618412213422
2,49,1,hand,4,DP,3,4,4,0.0,0,0.0,-inf
2,50,1,hand,4,DP,1,4,3,1.834,1,0.0,0.6064993738342731
2,51,1,hand,1,OT,0,1,1,0.885,0,,-0.12216763397420753
2,52,1,hand,1,OT,0,2,2,0.884,0,,-0.1232982163444936
2,55,1,hand,3,SP,3,3,3,0.647,0,,-0.43540898448123644
2,57,1,hand,3,SP,3,3,3,1.207,0,,0.1881379421153945
2,58,1,hand,3,SP,1,1,1,0.776,0,,-0.25360275879891825
2,59,1,hand,4,DP,2,4,3,0.555,1,0.0,-0.5887871652357024
2,60,1,hand,3,SP,2,2,2,0.736,0,,-0.3065251602532608
2,61,1,hand,1,OT,0,4,4,0.72,0,,-0.3285040669720361
2,62,1,hand,1,OT,0,1,1,0.69,0,,-0.37106368139083207
2,63,1,hand,3,SP,4,4,4,0.884,0,,-0.1232982163444936
2,64,1,hand,4,DP,1,3,3,0.704,0,0.0,-0.3509769228240947
3,1,1,hand,3,SP,4,4,4,0.408,0,,-0.8964881045779755
3,2,1,hand,4,DP,4,1,1,0.412,0,0.0,-0.8867319296326107
3,4,1,hand,1,OT,0,4,4,0.485,0,,-0.7236063880446539
3,5,1,hand,4,DP,3,1,1,0.456,0,0.0,-0.7852624694677509
3,6,1,hand,4,DP,1,3,1,0.705,1,1.0,-0.34955747616986843
3,9,1,hand,3,SP,3,3,4,0.61,1,,-0.4942963218147801
3,10,1,hand,3,SP,2,2,2,0.732,0,,-0.3119747650208255
3,11,1,hand,3,SP,1,1,4,1.599,1,,0.46937843385181716
3,13,1,hand,1,OT,0,2,2,0.759,0,,-0.27575350158650713
3,14,1,hand,3,SP,4,4,4,0.58,0,,-0.5447271754416722
3,15,1,hand,3,SP,1,1,1,0.583,0,,-0.5395680926316447
3,16,1,hand,4,DP,3,4,4,0.608,0,0.0,-0.49758039701597007
3,17,1,hand,4,DP,2,1,3,0.843,1,0.0,-0.17078832098028163
3,18,1,hand,3,SP,2,2,2,0.538,0,,-0.6198967188203526
3,19,1,hand,3,SP,4,4,4,0.564,0,,-0.5727010274840783
3,20,1,hand,1,OT,0,3,1,0.731,1,,-0.3133418192323586
3,24,1,hand,4,DP,3,2,2,0.982,0,0.0,-0.01816397062767118
3,25,1,hand,4,DP,4,3,3,0.594,0,0.0,-0.5208759596194922
3,26,1,hand,4,DP,2,1,1,0.93,0,0.0,-0.07257069283483537
3,29,1,hand,3,SP,2,2,2,0.605,0,,-0.5025268209512956
3,30,1,hand,1,OT,0,3,3,0.664,0,,-0.40947312950570314
3,32,1,hand,1,OT,0,4,4,0.495,0,,-0.7031975164134467
3,34,1,hand,4,DP,1,2,2,0.552,0,0.0,-0.5942072327050416
3,35,1,hand,1,OT,0,2,2,0.664,0,,-0.40947312950570314
3,36,1,hand,4,DP,2,3,3,0.593,0,0.0,-0.5225608799844117
3,37,1,hand,3,SP,2,2,2,0.564,0,,-0.5727010274840783
3,38,1,hand,1,OT,0,1,1,0.628,0,,-0.4652151125139384
3,39,1,hand,3,SP,3,3,3,0.575,0,,-0.5533852381847867
3,40,1,hand,1,OT,0,4,4,0.551,0,,-0.5960204698292225
3,41,1,hand,3,SP,1,1,1,0.55,0,,-0.5978370007556204
3,45,1,hand,1,OT,0,4,4,0.652,0,,-0.4277107170554841
3,46,1,hand,1,OT,0,2,2,0.581,0,,-0.5430045221302259
3,47,1,hand,3,SP,1,1,1,0.499,0,,-0.6951491832306184
3,48,1,hand,1,OT,0,1,1,0.541,0,,-0.6143360001356555
3,49,1,hand,1,OT,0,1,1,0.553,0,,-0.5923972774598022
3,50,1,hand,3,SP,3,3,3,0.456,0,,-0.7852624694677509
3,51,1,hand,4,DP,4,2,2,0.382,0,0.0,-0.9623346703755619
3,52,1,hand,1,OT,0,3,3,0.521,0,,-0.6520052372287701
3,54,1,hand,4,DP,1,4,4,0.415,0,0.0,-0.8794767587514388
3,55,1,hand,4,DP,1,4,4,0.623,0,0.0,-0.4732087601946839
3,56,1,hand,4,DP,2,4,4,0.665,0,0.0,-0.4079682383262829
3,57,1,hand,4,DP,1,2,2,0.675,0,0.0,-0.3930425881096072
3,58,1,hand,1,OT,0,2,2,0.593,0,,-0.5225608799844117
3,59,1,hand,4,DP,1,3,3,0.549,0,0.0,-0.5996568374726063
3,60,1,hand,1,OT,0,3,3,0.721,0,,-0.327116141697188
3,61,1,hand,3,SP,4,4,4,0.509,0,,-0.6753072624316143
3,62,1,hand,1,OT,0,1,1,1.023,0,,0.02273948696948934
3,63,1,hand,3,SP,3,3,3,0.467,0,,-0.7614260213132397
4,1,1,hand,4,DP,3,2,3,0.505,1,1.0,-0.6831968497067772
4,3,1,hand,3,SP,3,3,3,0.636,0,,-0.4525567156420149
4,4,1,hand,4,DP,1,4,2,0.549,1,0.0,-0.5996568374726063
4,5,1,hand,1,OT,0,2,2,0.582,0,,-0.5412848312506993
4,6,1,hand,4,DP,3,1,3,0.552,1,1.0,-0.5942072327050416
4,8,1,hand,3,SP,1,1,1,0.677,0,,-0.390084006069862
4,9,1,hand,4,DP,4,3,4,0.662,1,1.0,-0.4124897230451288
4,10,1,hand,3,SP,4,4,4,0.495,0,,-0.7031975164134467
4,11,1,hand,4,DP,4,2,2,0.5,0,0.0,-0.6931471805599453
4,12,1,hand,3,SP,1,1,1,0.594,0,,-0.5208759596194922
4,13,1,hand,4,DP,2,4,2,0.581,1,1.0,-0.5430045221302259
4,14,1,hand,3,SP,2,2,2,0.536,0,,-0.623621117911335
4,15,1,hand,1,OT,0,1,3,0.665,1,,-0.4079682383262829
4,16,1,hand,4,DP,1,3,1,0.509,1,1.0,-0.6753072624316143
4,19,1,hand,1,OT,0,3,2,0.746,1,,-0.2930296787783762
4,20,1,hand,1,OT,0,3,4,0.676,1,,-0.3915622029391729
4,21,1,hand,3,SP,4,4,4,0.44,0,,-0.8209805520698302
4,22,1,hand,4,DP,1,3,1,0.578,1,1.0,-0.5481814103097596
4,24,1,hand,3,SP,1,1,1,0.541,0,,-0.6143360001356555
4,25,1,hand,3,SP,2,2,2,0.51,0,,-0.6733445532637656
4,27,1,hand,3,SP,3,3,3,0.567,0,,-0.5673959752543851
4,28,1,hand,1,OT,0,4,1,0.608,1,,-0.49758039701597007
4,29,1,hand,1,OT,0,3,4,0.578,1,,-0.5481814103097596
4,31,1,hand,1,OT,0,4,2,0.788,1,,-0.2382571891242579
