ID,trial_index,condition_label,trial_type_label,visual_stimulus,tactile_stimulus,combo,felt_position,z_RT,error,visual_error,tactile_error
1,1,hand,OT,4,0,4-0,0,,0,,
1,2,hand,SP,3,3,3-3,3,-1.118,0,,
1,3,hand,DP,1,2,1-2,2,0.687,0,0,0
1,4,hand,DP,1,2,1-2,2,0.289,0,0,0
1,5,hand,OT,2,0,2-0,0,,0,,
1,6,hand,DP,2,4,2-4,4,-0.238,0,0,0
1,7,hand,SP,4,4,4-4,4,0.47,0,,
1,8,hand,SP,1,1,1-1,1,2.269,0,,
1,9,hand,OT,3,0,3-0,0,,0,,
1,10,hand,OT,3,0,3-0,0,,0,,
1,11,hand,OT,1,0,1-0,0,,0,,
1,12,hand,OV,0,2,0-2,2,-0.611,0,,
1,13,hand,DP,1,4,1-4,4,-0.795,0,0,0
1,14,hand,OV,0,4,0-4,4,1.613,0,,
1,15,hand,DP,4,3,4-3,3,2.679,0,0,0
1,16,hand,DP,2,1,2-1,1,-0.433,0,0,0
1,17,hand,OV,0,2,0-2,2,-0.028,0,,
1,18,hand,SP,1,1,1-1,1,0.279,0,,
1,19,hand,SP,4,4,4-4,4,-0.444,0,,
1,20,hand,OT,1,0,1-0,0,,0,,
1,21,hand,OV,0,3,0-3,3,0.314,0,,
1,22,hand,OV,0,4,0-4,4,1.04,0,,
1,23,hand,OV,0,1,0-1,1,-0.096,0,,
1,24,hand,OV,0,1,0-1,1,1.553,0,,
1,25,hand,DP,2,3,2-3,3,-0.622,0,0,0
1,26,hand,OV,0,4,0-4,4,0.342,0,,
1,27,hand,DP,3,2,3-2,2,-0.944,0,0,0
1,28,hand,OT,4,0,4-0,0,,0,,
1,29,hand,DP,1,4,1-4,4,1.921,0,0,0
1,30,hand,OT,2,0,2-0,0,,0,,
1,31,hand,SP,2,2,2-2,2,0.165,0,,
1,32,hand,SP,3,3,3-3,3,-1.332,0,,
1,33,hand,OT,3,0,3-0,0,,0,,
1,34,hand,OV,0,2,0-2,2,0.673,0,,
1,35,hand,OT,4,0,4-0,0,,0,,
1,36,hand,OV,0,1,0-1,1,1.398,0,,
1,37,hand,SP,4,4,4-4,4,-1.513,0,,
1,38,hand,OT,2,0,2-0,0,,0,,
1,39,hand,DP,1,3,1-3,3,-0.557,0,0,0
1,40,hand,OV,0,3,0-3,3,0.658,0,,
1,41,hand,DP,4,1,4-1,3,-1.139,1,0,1
1,42,hand,OT,2,0,2-0,0,,0,,
1,43,hand,OV,0,4,0-4,4,-0.928,0,,
1,44,hand,OT,1,0,1-0,0,,0,,
1,45,hand,OV,0,1,0-1,3,-0.787,1,,
1,46,hand,DP,2,1,2-1,1,0.105,0,0,0
1,47,hand,SP,1,1,1-1,1,0.528,0,,
1,48,hand,OV,0,2,0-2,2,-0.036,0,,
1,49,hand,SP,3,3,3-3,3,1.186,0,,
1,50,hand,DP,1,3,1-3,3,-0.609,0,0,0
1,51,hand,DP,3,1,3-1,3,-0.768,1,1,0
1,52,hand,OT,1,0,1-0,0,,0,,
1,53,hand,SP,2,2,2-2,2,1.188,0,,
1,54,hand,SP,2,2,2-2,2,-1.283,0,,
1,55,hand,SP,1,1,1-1,3,-0.577,1,,
1,56,hand,SP,3,3,3-3,3,-0.957,0,,
1,57,hand,OT,3,0,3-0,0,,0,,
1,58,hand,OV,0,3,0-3,3,-0.556,0,,
1,59,hand,OT,4,0,4-0,0,,0,,
1,60,hand,SP,2,2,2-2,2,-1.014,0,,
1,61,hand,SP,4,4,4-4,4,-0.565,0,,
1,62,hand,OV,0,3,0-3,3,-0.772,0,,
1,63,hand,DP,4,2,4-2,4,0.129,1,1,0
1,64,hand,DP,3,4,3-4,4,-0.763,0,0,0
2,1,cube,DP,4,3,4-3,3,-0.863,0,0,0
2,2,cube,OT,2,0,2-0,0,,0,,
2,3,cube,SP,3,3,3-3,3,-0.092,0,,
2,4,cube,OV,0,2,0-2,2,0.022,0,,
2,5,cube,OT,4,0,4-0,0,,0,,
2,6,cube,OV,0,3,0-3,3,-0.777,0,,
2,7,cube,DP,1,2,1-2,2,-0.642,0,0,0
2,8,cube,OV,0,1,0-1,1,-0.287,0,,
2,9,cube,OT,3,0,3-0,0,,0,,
2,10,cube,OT,3,0,3-0,0,,0,,
2,11,cube,SP,2,2,2-2,2,-1.076,0,,
2,12,cube,DP,1,4,1-4,4,0.269,0,0,0
2,13,cube,SP,1,1,1-1,1,1.003,0,,
2,14,cube,OV,0,4,0-4,4,1.314,0,,
2,15,cube,OT,4,0,4-0,0,,0,,
2,16,cube,DP,3,4,3-4,4,2.097,0,0,0
2,17,cube,DP,2,1,2-1,2,2.963,1,1,0
2,18,cube,SP,4,4,4-4,4,1.361,0,,
2,19,cube,DP,2,4,2-4,4,1.131,0,0,0
2,20,cube,OV,0,2,0-2,2,-0.702,0,,
2,21,cube,OT,1,0,1-0,0,,0,,
2,22,cube,DP,4,2,4-2,2,-1.319,0,0,0
2,23,cube,DP,1,3,1-3,3,0.136,0,0,0
2,24,cube,OV,0,3,0-3,3,-0.458,0,,
2,25,cube,OV,0,1,0-1,1,-0.709,0,,
2,26,cube,SP,1,1,1-1,1,-0.777,0,,
2,27,cube,SP,3,3,3-3,3,-0.399,0,,
2,28,cube,OV,0,4,0-4,4,-0.52,0,,
2,29,cube,SP,4,4,4-4,4,-1.075,0,,
2,30,cube,SP,3,3,3-3,3,-1.314,0,,
2,31,cube,OV,0,1,0-1,1,-0.592,0,,
2,32,cube,OT,1,0,1-0,0,,0,,
2,33,cube,SP,4,4,4-4,4,-0.7,0,,
2,34,cube,DP,3,2,3-2,2,-0.153,0,0,0
2,35,cube,DP,1,3,1-3,3,-0.28,0,0,0
2,36,cube,SP,2,2,2-2,2,-0.78,0,,
2,37,cube,OV,0,1,0-1,1,0.083,0,,
2,38,cube,DP,2,3,2-3,3,0.638,0,0,0
2,39,cube,OT,2,0,2-0,0,,0,,
2,40,cube,OT,2,0,2-0,0,,0,,
2,41,cube,OT,3,0,3-0,0,,0,,
2,42,cube,DP,1,2,1-2,2,-0.335,0,0,0
2,43,cube,SP,2,2,2-2,2,-0.779,0,,
2,44,cube,OT,3,0,3-0,0,,0,,
2,45,cube,OV,0,4,0-4,4,0.692,0,,
2,46,cube,OV,0,2,0-2,2,-1.333,0,,
2,47,cube,OV,0,3,0-3,3,-1.394,0,,
2,48,cube,SP,3,3,3-3,3,0.205,0,,
2,49,cube,OT,1,0,1-0,0,,0,,
2,50,cube,DP,3,1,3-1,1,-0.235,0,0,0
2,51,cube,OT,4,0,4-0,0,,0,,
2,52,cube,OT,1,0,1-0,0,,0,,
2,53,cube,OV,0,4,0-4,4,1.437,0,,
2,54,cube,SP,1,1,1-1,1,1.984,0,,
2,55,cube,DP,1,4,1-4,4,0.693,0,0,0
2,56,cube,OT,4,0,4-0,0,,0,,
2,57,cube,SP,2,2,2-2,2,-0.642,0,,
2,58,cube,SP,1,1,1-1,2,-0.162,1,,
