Subject,CUBE_OV_1,CUBE_OV_2,CUBE_OV_3,CUBE_OV_4,CUBE_OV_5,CUBE_OV_6,CUBE_OT_1,CUBE_OT_2,CUBE_OT_3,CUBE_OT_4,CUBE_OT_5,CUBE_OT_6,CUBE_SQ_1,CUBE_SQ_2,CUBE_SQ_3,CUBE_SQ_4,CUBE_SQ_5,CUBE_SQ_6,CUBE_DQ_1,CUBE_DQ_2,CUBE_DQ_3,CUBE_DQ_4,CUBE_DQ_5,CUBE_DQ_6,HAND_OV_1,HAND_OV_2,HAND_OV_3,HAND_OV_4,HAND_OV_5,HAND_OV_6,HAND_OT_1,HAND_OT_2,HAND_OT_3,HAND_OT_4,HAND_OT_5,HAND_OT_6,HAND_SQ_1,HAND_SQ_2,HAND_SQ_3,HAND_SQ_4,HAND_SQ_5,HAND_SQ_6,HAND_DQ_1,HAND_DQ_2,HAND_DQ_3,HAND_DQ_4,HAND_DQ_5,HAND_DQ_6
1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,4,4.0,1,1,1,1,1,1,1,5,4,1,1,4,5,5,2,1,1,4,4,6,5,7,7,6,4,5,5,1,3,2,3
2,1,1,3,1,1,1,1,2,1,1,1,1,1,3,7,2,2.0,1,1,2,1,2,1,1,4,6,1,3,1,1,2,1,4,3,1,1,4,5,4,6,1,1,3,4,1,2,1,1
3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,3,2.0,1,1,1,1,1,1,1,3,5,1,1,4,2,4,4,1,1,2,2,4,4,7,6,4,3,4,3,1,5,5,3
4,1,2,1,2,1,1,3,3,1,1,1,1,3,5,6,3,3.0,3,2,4,2,3,2,2,5,5,1,3,4,3,5,6,1,1,3,3,6,7,6,5,5,3,5,7,5,5,3,3
5,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,6,4.0,3,1,1,1,1,1,1,4,5,1,1,1,4,4,5,2,2,1,2,6,6,7,7,6,6,5,2,3,4,2,5
6,1,1,1,1,1,1,1,1,1,1,2,1,3,1,2,3,1.0,3,1,2,1,2,1,1,3,1,1,2,2,2,2,1,1,1,3,3,7,5,7,4,2,7,4,5,2,3,7,6
7,1,2,1,2,1,1,1,1,1,1,1,1,2,2,7,5,1.0,2,1,2,1,2,1,1,6,4,5,6,5,5,5,4,6,6,4,3,7,6,7,7,1,3,4,6,2,4,3,5
8,1,1,1,1,2,2,1,1,2,1,1,2,3,2,7,5,5.0,4,2,2,1,1,2,3,3,4,1,2,3,3,3,2,1,1,2,2,5,5,6,6,6,5,2,4,1,3,4,3
9,1,1,1,1,1,1,1,2,1,2,1,1,1,3,7,3,1.0,1,2,2,1,2,1,1,2,3,1,3,2,2,1,3,1,3,1,3,3,3,6,3,1,2,2,3,4,3,1,2
10,1,3,1,1,1,1,1,1,1,1,1,1,1,1,6,2,1.0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,7,7,1,1,1,1,4,1,1,1
11,1,3,1,1,1,2,4,5,1,1,1,6,1,1,7,4,1.0,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,5,7,4,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,2,1,1,1,5,6,4,7,7,6.0,7,1,1,1,2,1,1,1,4,1,3,1,3,6,5,1,1,4,2,6,7,7,6,5,6,5,6,5,4,3,4
13,1,1,1,2,1,1,1,1,1,1,1,1,2,1,7,2,1.0,2,1,3,1,3,1,2,3,3,1,3,4,2,3,3,1,4,4,3,3,2,7,3,3,2,2,3,1,2,3,2
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,1.0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,7,6,3,2,1,1,2,3,1,1
15,1,2,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1.0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,2,1,6,6,5,1,1,5,4,5,2,1
16,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,6,6.0,1,1,2,3,4,5,1,1,2,1,2,2,1,1,1,1,1,1,1,2,6,7,6,5,2,2,3,3,4,4,2
