StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,33 0,01999998 15
DQ 0,18 0,17 34
DQ 0,3 0,04999998 21
DQ 0,15 0,2 38
DQ 0,21 0,14 30
DQ 0,3 0,04999998 10
DQ 0,33 0,01999998 8
DQ 0,27 0,07999998 16
DQ 0,15 0,2 31
DQ 0,18 0,17 28
OV 0,12 0,23 38
OV 0,18 0,17 33
OV 0,15 0,2 36
OV 0,27 0,07999998 24
OV 0,3 0,04999998 21
OV 0,21 0,14 20
OV 0,33 0,01999998 11
OV 0,12 0,23 33
OV 0,27 0,07999998 18
OV 0,3 0,04999998 15
SQ 0,3 0,04999998 18
SQ 0,27 0,07999998 20
SQ 0,24 0,11 23
SQ 0,21 0,14 27
SQ 0,15 0,2 34
SQ 0,21 0,14 21
SQ 0,24 0,11 20
SQ 0,18 0,17 27
SQ 0,33 0,01999998 11
SQ 0,12 0,23 35
OT 0,15 0,2 32
OT 0,12 0,23 35
OT 0,33 0,01999998 15
OT 0,24 0,11 24
OT 0,3 0,04999998 19
OT 0,27 0,07999998 16
OT 0,33 0,01999998 12
OT 0,18 0,17 27
OT 0,12 0,23 32
OT 0,15 0,2 30
