StimulationType RulerPosition Distance Answer		
0 0,35 0 0
SQ 0,3 0,04999998 21
SQ 0,21 0,14 32
SQ 0,18 0,17 34
SQ 0,15 0,2 37
SQ 0,24 0,11 26
SQ 0,18 0,17 24
SQ 0,21 0,14 22
SQ 0,12 0,23 29
SQ 0,15 0,2 27
SQ 0,33 0,01999998 9
OV 0,15 0,2 34
OV 0,21 0,14 28
OV 0,27 0,07999998 23
OV 0,12 0,23 37
OV 0,3 0,04999998 19
OV 0,15 0,2 31
OV 0,27 0,07999998 18
OV 0,24 0,11 21
OV 0,3 0,04999998 15
OV 0,21 0,14 24
OT 0,18 0,17 32
OT 0,3 0,04999998 20
OT 0,33 0,01999998 17
OT 0,15 0,2 36
OT 0,21 0,14 29
OT 0,15 0,2 32
OT 0,18 0,17 29
OT 0,33 0,01999998 14
OT 0,12 0,23 35
OT 0,3 0,04999998 16
DQ 0,24 0,11 25
DQ 0,12 0,23 36
DQ 0,15 0,2 35
DQ 0,33 0,01999998 15
DQ 0,21 0,14 27
DQ 0,24 0,11 22
DQ 0,21 0,14 25
DQ 0,12 0,23 34
DQ 0,15 0,2 30
DQ 0,18 0,17 29
