StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,21 0,14 27
DQ 0,15 0,2 33
DQ 0,12 0,23 34
DQ 0,33 0,01999998 14
DQ 0,18 0,17 29
DQ 0,24 0,11 26
DQ 0,21 0,14 29
DQ 0,33 0,01999998 14
DQ 0,12 0,23 36
DQ 0,27 0,07999998 18
OT 0,33 0,01999998 16
OT 0,27 0,07999998 19
OT 0,21 0,14 26
OT 0,18 0,17 29
OT 0,24 0,11 22
OT 0,27 0,07999998 20
OT 0,24 0,11 20
OT 0,3 0,04999998 14
OT 0,15 0,2 30
OT 0,18 0,17 25
SQ 0,24 0,11 26
SQ 0,15 0,2 33
SQ 0,18 0,17 28
SQ 0,12 0,23 35
SQ 0,21 0,14 24
SQ 0,33 0,01999998 15
SQ 0,21 0,14 23
SQ 0,18 0,17 27
SQ 0,27 0,07999998 18
SQ 0,24 0,11 20
OV 0,18 0,17 31
OV 0,27 0,07999998 20
OV 0,21 0,14 25
OV 0,12 0,23 35
OV 0,15 0,2 29
OV 0,27 0,07999998 19
OV 0,12 0,23 33
OV 0,15 0,2 30
OV 0,33 0,01999998 11
OV 0,3 0,04999998 15
