StimulationType RulerPosition Distance Answer
0 0,35 0 
OV 0,3 0,04999998 27
OV 0,33 0,01999998 19
OV 0,27 0,07999998 25
OV 0,18 0,17 36
OV 0,12 0,23 42
OV 0,21 0,14 30
OV 0,27 0,07999998 22
OV 0,3 0,04999998 19
OV 0,12 0,23 37
OV 0,24 0,11 24
DQ 0,18 0,17 35
DQ 0,15 0,2 36
DQ 0,3 0,04999998 21
DQ 0,27 0,07999998 25
DQ 0,12 0,23 40
DQ 0,21 0,14 33
DQ 0,15 0,2 32
DQ 0,18 0,17 30
DQ 0,24 0,11 24
DQ 0,33 0,01999998 17
SQ 0,33 0,01999998 19
SQ 0,3 0,04999998 22
SQ 0,24 0,11 27
SQ 0,15 0,2 35
SQ 0,21 0,14 25
SQ 0,24 0,11 28
SQ 0,15 0,2 34
SQ 0,12 0,23 36
SQ 0,3 0,04999998 19
SQ 0,33 0,01999998 16
OT 0,3 0,04999998 21
OT 0,33 0,01999998 16
OT 0,27 0,07999998 23
OT 0,15 0,2 33
OT 0,21 0,14 27
OT 0,18 0,17 33
OT 0,12 0,23 38
OT 0,33 0,01999998 12
OT 0,24 0,11 23
OT 0,27 0,07999998 20
