StimulationType RulerPosition Distance Answer
0 0,35 0 
SQ 0,27 0,07999998 29
SQ 0,15 0,2 37
SQ 0,33 0,01999998 19
SQ 0,24 0,11 28
SQ 0,12 0,23 40
SQ 0,21 0,14 23
SQ 0,33 0,01999998 11
SQ 0,15 0,2 30
SQ 0,12 0,23 35
SQ 0,24 0,11 21
OT 0,27 0,07999998 21
OT 0,12 0,23 35
OT 0,24 0,11 22
OT 0,21 0,14 25
OT 0,33 0,01999998 14
OT 0,27 0,07999998 16
OT 0,18 0,17 26
OT 0,15 0,2 28
OT 0,3 0,04999998 14
OT 0,33 0,01999998 11
DQ 0,21 0,14 28
DQ 0,27 0,07999998 19
DQ 0,12 0,23 33
DQ 0,33 0,01999998 10
DQ 0,15 0,2 29
DQ 0,21 0,14 21
DQ 0,33 0,01999998 9
DQ 0,12 0,23 30
DQ 0,18 0,17 24
DQ 0,27 0,07999998 12
OV 0,21 0,14 27
OV 0,24 0,11 20
OV 0,27 0,07999998 17
OV 0,33 0,01999998 11
OV 0,15 0,2 29
OV 0,24 0,11 18
OV 0,12 0,23 30
OV 0,33 0,01999998 8
OV 0,27 0,07999998 16
OV 0,18 0,17 25
