StimulationType RulerPosition Distance Answer
0 0,35 0
SQ 0,33 0,01999998 19
SQ 0,15 0,2 36
SQ 0,18 0,17 35
SQ 0,24 0,11 29
SQ 0,27 0,07999998 26
SQ 0,15 0,2 32
SQ 0,27 0,07999998 22
SQ 0,24 0,11 24
SQ 0,33 0,01999998 16
SQ 0,21 0,14 30
OT 0,12 0,23 37
OT 0,24 0,11 28
OT 0,15 0,2 37
OT 0,21 0,14 31
OT 0,27 0,07999998 29
OT 0,3 0,04999998 20
OT 0,21 0,14 31
OT 0,12 0,23 40
OT 0,18 0,17 33
OT 0,24 0,11 26
OV 0,21 0,14 31
OV 0,3 0,04999998 22
OV 0,15 0,2 37
OV 0,33 0,01999998 20
OV 0,27 0,07999998 24
OV 0,18 0,17 32
OV 0,21 0,14 29
OV 0,15 0,2 37
OV 0,3 0,04999998 20
OV 0,27 0,07999998 24
DQ 0,33 0,01999998 16
DQ 0,12 0,23 38
DQ 0,15 0,2 34
DQ 0,27 0,07999998 23
DQ 0,21 0,14 29
DQ 0,33 0,01999998 14
DQ 0,15 0,2 34
DQ 0,27 0,07999998 21
DQ 0,24 0,11 26
DQ 0,21 0,14 28
