StimulationType RulerPosition Distance Answer
0 0,35 0
DQ 0,18 0,17 31
DQ 0,24 0,11 27
DQ 0,27 0,07999998 24
DQ 0,3 0,04999998 21
DQ 0,33 0,01999998 17
DQ 0,24 0,11 24
DQ 0,21 0,14 29
DQ 0,12 0,23 38
DQ 0,18 0,17 32
DQ 0,33 0,01999998 18
OT 0,3 0,04999998 24
OT 0,18 0,17 35
OT 0,12 0,23 40
OT 0,33 0,01999998 18
OT 0,24 0,11 28
OT 0,15 0,2 36
OT 0,18 0,17 32
OT 0,21 0,14 29
OT 0,24 0,11 28
OT 0,33 0,01999998 17
SQ 0,15 0,2 36
SQ 0,24 0,11 28
SQ 0,12 0,23 38
SQ 0,33 0,01999998 20
SQ 0,27 0,07999998 25
SQ 0,27 0,07999998 22
SQ 0,3 0,04999998 20
SQ 0,18 0,17 31
SQ 0,33 0,01999998 17
SQ 0,12 0,23 36
OV 0,27 0,07999998 25
OV 0,3 0,04999998 22
OV 0,12 0,23 29
OV 0,15 0,2 34
OV 0,24 0,11 28
OV 0,15 0,2 33
OV 0,21 0,14 28
OV 0,12 0,23 35
OV 0,33 0,01999998 17
OV 0,24 0,11 26
