StimulationType RulerPosition Distance Answer
0 0,35 0 0
DQ 0,27 0,07999998 29
DQ 0,24 0,11 25
DQ 0,21 0,14 13
DQ 0,3 0,04999998 20
DQ 0,18 0,17 
DQ 0,15 0,2 26
DQ 0,18 0,17 21
DQ 0,33 0,01999998 8
DQ 0,24 0,11 19
DQ 0,12 0,23 
OV 0,15 0,2 32
OV 0,27 0,07999998 30
OV 0,12 0,23 18
OV 0,33 0,01999998 33
OV 0,3 0,04999998 13
OV 0,27 0,07999998 18
OV 0,12 0,23 32
OV 0,15 0,2 27
OV 0,3 0,04999998 12
OV 0,18 0,17 25
OT 0,3 0,04999998 17
OT 0,15 0,2 31
OT 0,27 0,07999998 18
OT 0,21 0,14 24
OT 0,33 0,01999998 11
OT 0,15 0,2 26
OT 0,33 0,01999998 8
OT 0,24 0,11 18
OT 0,21 0,14 21
OT 0,3 0,04999998 13
SQ 0,27 0,07999998 16
SQ 0,3 0,04999998 14
SQ 0,24 0,11 19
SQ 0,18 0,17 26
SQ 0,15 0,2 29
SQ 0,24 0,11 16
SQ 0,3 0,04999998 12
SQ 0,18 0,17 24
SQ 0,21 0,14 21
SQ 0,27 0,07999998 14
